id_solicitante,inadimplente
20001,-1.0
20002,-1.0
20003,1.0
20004,-1.0
20005,-1.0
20006,-1.0
20007,-1.0
20008,-1.0
20009,-1.0
20010,-1.0
20011,-1.0
20012,-1.0
20013,-1.0
20014,-1.0
20015,-1.0
20016,-1.0
20017,-1.0
20018,-1.0
20019,-1.0
20020,-1.0
20021,-1.0
20022,-1.0
20023,-1.0
20024,-1.0
20025,-1.0
20026,-1.0
20027,-1.0
20028,-1.0
20029,-1.0
20030,-1.0
20031,-1.0
20032,-1.0
20033,-1.0
20034,-1.0
20035,-1.0
20036,-1.0
20037,-1.0
20038,-1.0
20039,-1.0
20040,-1.0
20041,-1.0
20042,-1.0
20043,-1.0
20044,-1.0
20045,-1.0
20046,-1.0
20047,-1.0
20048,-1.0
20049,-1.0
20050,-1.0
20051,-1.0
20052,-1.0
20053,-1.0
20054,-1.0
20055,-1.0
20056,-1.0
20057,-1.0
20058,-1.0
20059,-1.0
20060,-1.0
20061,-1.0
20062,-1.0
20063,-1.0
20064,-1.0
20065,-1.0
20066,-1.0
20067,-1.0
20068,-1.0
20069,-1.0
20070,-1.0
20071,-1.0
20072,-1.0
20073,-1.0
20074,-1.0
20075,-1.0
20076,-1.0
20077,-1.0
20078,-1.0
20079,-1.0
20080,-1.0
20081,-1.0
20082,-1.0
20083,-1.0
20084,-1.0
20085,-1.0
20086,-1.0
20087,-1.0
20088,-1.0
20089,-1.0
20090,-1.0
20091,-1.0
20092,-1.0
20093,-1.0
20094,-1.0
20095,1.0
20096,-1.0
20097,-1.0
20098,-1.0
20099,-1.0
20100,-1.0
20101,-1.0
20102,-1.0
20103,-1.0
20104,-1.0
20105,-1.0
20106,-1.0
20107,-1.0
20108,-1.0
20109,-1.0
20110,-1.0
20111,-1.0
20112,-1.0
20113,-1.0
20114,-1.0
20115,-1.0
20116,-1.0
20117,-1.0
20118,-1.0
20119,-1.0
20120,-1.0
20121,-1.0
20122,-1.0
20123,-1.0
20124,-1.0
20125,-1.0
20126,-1.0
20127,-1.0
20128,-1.0
20129,-1.0
20130,-1.0
20131,-1.0
20132,-1.0
20133,-1.0
20134,-1.0
20135,-1.0
20136,-1.0
20137,-1.0
20138,-1.0
20139,-1.0
20140,-1.0
20141,-1.0
20142,-1.0
20143,-1.0
20144,-1.0
20145,-1.0
20146,-1.0
20147,-1.0
20148,-1.0
20149,-1.0
20150,-1.0
20151,-1.0
20152,-1.0
20153,-1.0
20154,-1.0
20155,-1.0
20156,-1.0
20157,-1.0
20158,-1.0
20159,-1.0
20160,-1.0
20161,1.0
20162,-1.0
20163,-1.0
20164,-1.0
20165,-1.0
20166,-1.0
20167,-1.0
20168,-1.0
20169,-1.0
20170,-1.0
20171,-1.0
20172,-1.0
20173,-1.0
20174,-1.0
20175,-1.0
20176,-1.0
20177,-1.0
20178,-1.0
20179,-1.0
20180,-1.0
20181,-1.0
20182,-1.0
20183,-1.0
20184,-1.0
20185,-1.0
20186,-1.0
20187,-1.0
20188,-1.0
20189,-1.0
20190,-1.0
20191,-1.0
20192,-1.0
20193,-1.0
20194,-1.0
20195,-1.0
20196,-1.0
20197,-1.0
20198,-1.0
20199,-1.0
20200,-1.0
20201,-1.0
20202,-1.0
20203,-1.0
20204,-1.0
20205,-1.0
20206,-1.0
20207,-1.0
20208,-1.0
20209,-1.0
20210,1.0
20211,-1.0
20212,-1.0
20213,-1.0
20214,-1.0
20215,-1.0
20216,-1.0
20217,-1.0
20218,-1.0
20219,-1.0
20220,-1.0
20221,-1.0
20222,-1.0
20223,-1.0
20224,1.0
20225,-1.0
20226,-1.0
20227,-1.0
20228,1.0
20229,-1.0
