id_solicitante,inadimplente
20001,1
20002,0
20003,1
20004,1
20005,1
20006,1
20007,1
20008,0
20009,1
20010,0
20011,1
20012,0
20013,0
20014,1
20015,0
20016,0
20017,0
20018,0
20019,0
20020,1
20021,1
20022,1
20023,0
20024,0
20025,1
20026,1
20027,0
20028,0
20029,0
20030,0
20031,0
20032,0
20033,1
20034,0
20035,1
20036,1
20037,1
20038,0
20039,1
20040,1
20041,0
20042,0
20043,1
20044,0
20045,1
20046,1
20047,1
20048,1
20049,1
20050,1
20051,1
20052,0
20053,0
20054,0
20055,1
20056,1
20057,0
20058,0
20059,0
20060,0
20061,0
20062,0
20063,0
20064,1
20065,1
20066,1
20067,0
20068,1
20069,0
20070,1
20071,0
20072,1
20073,0
20074,0
20075,0
20076,1
20077,0
20078,1
20079,0
20080,0
20081,0
20082,1
20083,1
20084,1
20085,1
20086,1
20087,0
20088,0
20089,0
20090,1
20091,1
20092,0
20093,0
20094,1
20095,1
20096,0
20097,0
20098,0
20099,0
20100,1
20101,0
20102,0
20103,1
20104,0
20105,1
20106,1
20107,1
20108,0
20109,0
20110,1
20111,1
20112,0
20113,0
20114,1
20115,1
20116,1
20117,1
20118,1
20119,0
20120,0
20121,1
20122,1
20123,0
20124,0
20125,0
20126,1
20127,1
20128,0
20129,0
20130,1
20131,1
20132,0
20133,1
20134,0
20135,1
20136,1
20137,1
20138,1
20139,1
20140,0
20141,0
20142,0
20143,0
20144,1
20145,1
20146,0
20147,1
20148,0
20149,1
20150,1
20151,1
20152,1
20153,1
20154,1
20155,1
20156,0
20157,0
20158,0
20159,0
20160,0
20161,0
20162,1
20163,0
20164,1
20165,1
20166,0
20167,1
20168,0
20169,0
20170,1
20171,0
20172,0
20173,1
20174,0
20175,1
20176,1
20177,1
20178,1
20179,1
20180,1
20181,1
20182,1
20183,1
20184,0
20185,1
20186,1
20187,1
20188,1
20189,0
20190,1
20191,0
20192,1
20193,1
20194,0
20195,0
20196,1
20197,1
20198,1
20199,0
20200,0
20201,0
20202,1
20203,0
20204,0
20205,1
20206,0
20207,0
20208,1
20209,1
20210,1
20211,0
20212,1
20213,0
20214,1
20215,0
20216,0
20217,1
20218,1
20219,1
20220,1
20221,0
20222,1
20223,0
20224,0
20225,1
20226,0
20227,0
20228,0
20229,0
20230,1
20231,1
20232,1
20233,0
20234,1
20235,1
20236,1
20237,1
20238,1
20239,0
20240,1
20241,1
20242,0
20243,0
20244,1
20245,1
20246,0
20247,0
20248,1
20249,0
20250,0
20251,0
20252,0
20253,1
20254,1
20255,1
20256,1
20257,1
20258,1
20259,1
20260,1
20261,0
20262,1
20263,1
20264,1
20265,1
20266,1
20267,0
20268,1
20269,0
20270,0
20271,1
20272,1
20273,0
20274,0
20275,1
20276,0
20277,0
20278,0
20279,1
20280,0
20281,1
20282,0
20283,0
20284,1
20285,1
20286,0
20287,0
20288,0
20289,0
20290,1
20291,0
20292,0
20293,0
20294,1
20295,1
20296,0
20297,0
20298,1
20299,0
20300,1
20301,0
20302,0
20303,0
20304,1
20305,1
20306,1
20307,1
20308,1
20309,1
20310,1
20311,0
20312,1
20313,1
20314,0
20315,0
20316,1
20317,0
20318,0
20319,0
20320,1
20321,1
20322,0
20323,0
20324,1
20325,0
20326,1
20327,1
20328,1
20329,0
20330,0
20331,1
20332,1
20333,1
20334,1
20335,1
20336,1
20337,1
20338,1
20339,1
20340,1
20341,1
20342,0
20343,1
20344,1
20345,1
20346,0
20347,1
20348,0
20349,1
20350,1
20351,1
20352,0
20353,1
20354,0
20355,1
20356,1
20357,1
20358,0
20359,1
20360,1
20361,0
20362,0
20363,1
20364,0
20365,0
20366,1
20367,1
20368,0
20369,1
20370,1
20371,0
20372,0
20373,1
20374,1
20375,1
20376,1
20377,0
20378,0
20379,0
20380,0
20381,1
20382,1
20383,0
20384,1
20385,1
20386,1
20387,0
20388,0
20389,0
20390,0
20391,1
20392,0
20393,1
20394,1
20395,0
20396,0
20397,1
20398,1
20399,1
20400,1
20401,0
20402,1
20403,1
20404,1
20405,1
20406,1
20407,0
20408,1
20409,1
20410,1
20411,0
20412,1
20413,1
20414,1
20415,0
20416,1
20417,0
20418,1
20419,0
20420,1
20421,1
20422,1
20423,0
20424,0
20425,1
20426,1
20427,1
20428,0
20429,0
20430,1
20431,1
20432,1
20433,1
20434,1
20435,0
20436,0
20437,1
20438,0
20439,0
20440,0
20441,0
20442,0
20443,0
20444,1
20445,0
20446,1
20447,1
20448,0
20449,1
20450,0
20451,0
20452,0
20453,1
20454,0
20455,0
20456,0
20457,1
20458,0
20459,0
20460,0
20461,0
20462,0
20463,0
20464,0
20465,0
20466,0
20467,1
20468,0
20469,1
20470,0
20471,1
20472,0
20473,1
20474,1
20475,0
20476,1
20477,1
20478,1
20479,0
20480,0
20481,0
20482,1
20483,1
20484,0
20485,0
20486,0
20487,0
20488,1
20489,0
20490,0
20491,0
20492,1
20493,1
20494,0
20495,0
20496,1
20497,1
20498,1
20499,1
20500,0
20501,0
20502,0
20503,0
20504,0
20505,0
20506,0
20507,1
20508,1
20509,0
20510,1
20511,0
20512,1
20513,0
20514,1
20515,0
20516,1
20517,1
20518,0
20519,1
20520,0
20521,1
20522,1
20523,0
20524,0
20525,0
20526,0
20527,0
20528,1
20529,0
20530,0
20531,1
20532,0
20533,0
20534,0
20535,0
20536,1
20537,0
20538,0
20539,1
20540,1
20541,0
20542,1
20543,0
20544,0
20545,1
20546,1
20547,0
20548,0
20549,0
20550,0
20551,1
20552,1
20553,0
20554,0
20555,1
20556,1
20557,1
20558,0
20559,0
20560,0
20561,0
20562,0
20563,0
20564,1
20565,1
20566,1
20567,1
20568,0
20569,0
20570,1
20571,0
20572,1
20573,0
20574,1
20575,0
20576,1
20577,0
20578,0
20579,0
20580,0
20581,1
20582,0
20583,0
20584,1
20585,0
20586,0
20587,0
20588,1
20589,1
20590,1
20591,1
20592,1
20593,1
20594,1
20595,0
20596,0
20597,0
20598,1
20599,1
20600,1
20601,0
20602,0
20603,1
20604,1
20605,0
20606,1
20607,1
20608,1
20609,1
20610,0
20611,1
20612,1
20613,0
20614,0
20615,1
20616,1
20617,0
20618,1
20619,0
20620,0
20621,0
20622,0
20623,0
20624,1
20625,1
20626,0
20627,0
20628,0
20629,0
20630,0
20631,1
20632,0
20633,0
20634,1
20635,0
20636,0
20637,1
20638,0
20639,1
20640,0
20641,0
20642,0
20643,0
20644,1
20645,0
20646,1
20647,1
20648,0
20649,0
20650,0
20651,0
20652,1
20653,0
20654,0
20655,0
20656,0
20657,0
20658,0
20659,1
20660,1
20661,0
20662,1
20663,1
20664,0
20665,0
20666,0
20667,1
20668,0
20669,1
20670,1
20671,0
20672,0
20673,1
20674,1
20675,1
20676,0
20677,0
20678,0
20679,0
20680,0
20681,1
20682,1
20683,0
20684,0
20685,1
20686,0
20687,1
20688,1
20689,1
20690,1
20691,1
20692,0
20693,1
20694,0
20695,0
20696,1
20697,0
20698,1
20699,1
20700,1
20701,1
20702,0
20703,0
20704,0
20705,1
20706,1
20707,0
20708,1
20709,1
20710,0
20711,1
20712,1
20713,1
20714,1
20715,0
20716,0
20717,1
20718,1
20719,0
20720,1
20721,0
20722,0
20723,1
20724,0
20725,1
20726,0
20727,1
20728,1
20729,1
20730,1
20731,1
20732,0
20733,0
20734,0
20735,0
20736,0
20737,0
20738,0
20739,1
20740,1
20741,1
20742,0
20743,0
20744,0
20745,0
20746,1
20747,0
20748,1
20749,1
20750,1
20751,1
20752,1
20753,1
20754,0
20755,1
20756,1
20757,0
20758,0
20759,0
20760,0
20761,0
20762,1
20763,1
20764,0
20765,1
20766,0
20767,0
20768,1
20769,0
20770,0
20771,0
20772,1
20773,0
20774,1
20775,1
20776,1
20777,1
20778,1
20779,1
20780,0
20781,1
20782,0
20783,1
20784,0
20785,0
20786,1
20787,0
20788,0
20789,1
20790,1
20791,0
20792,1
20793,1
20794,1
20795,0
20796,1
20797,0
20798,1
20799,0
20800,1
20801,1
20802,1
20803,1
20804,0
20805,0
20806,0
20807,0
20808,1
20809,1
20810,1
20811,1
20812,0
20813,1
20814,1
20815,1
20816,0
20817,1
20818,0
20819,0
20820,1
20821,1
20822,0
20823,0
20824,0
20825,1
20826,1
20827,0
20828,0
20829,0
20830,1
20831,0
20832,1
20833,0
20834,1
20835,0
20836,0
20837,1
20838,1
20839,0
20840,0
20841,0
20842,1
20843,1
20844,1
20845,1
20846,1
20847,1
20848,1
20849,1
20850,1
20851,1
20852,0
20853,0
20854,1
20855,0
20856,1
20857,1
20858,1
20859,0
20860,0
20861,0
20862,0
20863,0
20864,0
20865,0
20866,1
20867,1
20868,1
20869,1
20870,0
20871,1
20872,0
20873,0
20874,0
20875,1
20876,1
20877,1
20878,1
20879,1
20880,1
20881,0
20882,1
20883,0
20884,0
20885,0
20886,1
20887,1
20888,0
20889,1
