id_solicitante,inadimplente
20001,0
20002,0
20003,1
20004,0
20005,1
20006,1
20007,0
20008,1
20009,1
20010,1
20011,0
20012,0
20013,0
20014,1
20015,1
20016,1
20017,0
20018,1
20019,0
20020,1
20021,0
20022,1
20023,1
20024,1
20025,1
20026,1
20027,1
20028,0
20029,0
20030,1
20031,1
20032,1
20033,1
20034,0
20035,0
20036,1
20037,0
20038,0
20039,0
20040,0
20041,0
20042,1
20043,1
20044,0
20045,1
20046,0
20047,1
20048,1
20049,1
20050,1
20051,1
20052,0
20053,0
20054,1
20055,0
20056,0
20057,1
20058,1
20059,0
20060,1
20061,1
20062,1
20063,0
20064,0
20065,0
20066,0
20067,1
20068,1
20069,1
20070,1
20071,0
20072,0
20073,0
20074,0
20075,1
20076,0
20077,0
20078,1
20079,0
20080,1
20081,0
20082,0
20083,1
20084,1
20085,0
20086,0
20087,0
20088,1
20089,0
20090,0
20091,0
20092,1
20093,1
20094,0
20095,0
20096,1
20097,0
20098,1
20099,1
20100,1
20101,0
20102,1
20103,0
20104,1
20105,0
20106,1
20107,1
20108,0
20109,1
20110,0
20111,1
20112,0
20113,1
20114,0
20115,1
20116,1
20117,1
20118,0
20119,1
20120,0
20121,1
20122,1
20123,0
20124,1
20125,0
20126,1
20127,0
20128,0
20129,0
20130,0
20131,1
20132,1
20133,0
20134,1
20135,1
20136,0
20137,1
20138,0
20139,1
20140,1
20141,1
20142,0
20143,0
20144,1
20145,1
20146,1
20147,1
20148,0
20149,1
20150,1
20151,1
20152,0
20153,1
20154,1
20155,1
20156,1
20157,0
20158,0
20159,0
20160,0
20161,0
20162,0
20163,1
20164,0
20165,1
20166,0
20167,0
20168,0
20169,0
20170,1
20171,0
20172,1
20173,1
20174,1
20175,0
20176,1
20177,1
20178,1
20179,1
20180,1
20181,1
20182,1
20183,0
20184,1
20185,0
20186,1
20187,1
20188,0
20189,0
20190,1
20191,0
20192,1
20193,0
20194,0
20195,1
20196,1
20197,1
20198,1
20199,0
20200,0
20201,1
20202,0
20203,0
20204,0
20205,1
20206,0
20207,0
20208,0
20209,0
20210,1
20211,0
20212,1
20213,1
20214,0
20215,1
20216,1
20217,1
20218,1
20219,1
20220,1
20221,0
20222,1
20223,1
20224,1
20225,1
20226,0
20227,0
20228,0
20229,1
20230,1
20231,1
20232,1
20233,0
20234,0
20235,0
20236,1
20237,1
20238,1
20239,1
20240,0
20241,0
20242,1
20243,0
20244,0
20245,1
20246,0
20247,0
20248,0
20249,1
20250,0
20251,1
20252,1
20253,0
20254,1
20255,0
20256,1
20257,0
20258,0
20259,1
20260,0
20261,0
20262,1
20263,0
20264,0
20265,0
20266,1
20267,1
20268,1
20269,0
20270,0
20271,0
20272,0
20273,1
20274,1
20275,1
20276,1
20277,0
20278,0
20279,1
20280,1
20281,1
20282,0
20283,0
20284,1
20285,1
20286,1
20287,1
20288,0
20289,0
20290,0
20291,1
20292,0
20293,1
20294,0
20295,1
20296,0
20297,0
20298,1
20299,0
20300,1
20301,0
20302,0
20303,0
20304,1
20305,0
20306,1
20307,0
20308,0
20309,1
20310,1
20311,0
20312,1
20313,1
20314,0
20315,1
20316,1
20317,1
20318,1
20319,1
20320,1
20321,1
20322,0
20323,1
20324,1
20325,1
20326,1
20327,0
20328,1
20329,0
20330,0
20331,1
20332,0
20333,1
20334,1
20335,0
20336,0
20337,1
20338,1
20339,1
20340,1
20341,1
20342,0
20343,1
20344,0
20345,1
20346,1
20347,1
20348,1
20349,1
20350,1
20351,0
20352,0
20353,1
20354,0
20355,1
20356,0
20357,0
20358,0
20359,1
20360,0
20361,0
20362,1
20363,0
20364,0
20365,1
20366,1
20367,1
20368,1
20369,1
20370,1
20371,0
20372,0
20373,1
20374,1
20375,1
20376,1
20377,1
20378,0
20379,0
20380,1
20381,0
20382,1
20383,0
20384,1
20385,1
20386,1
20387,0
20388,0
20389,1
20390,0
20391,0
20392,0
20393,1
20394,1
20395,1
20396,1
20397,1
20398,1
20399,1
20400,0
20401,1
20402,0
20403,1
20404,0
20405,1
20406,1
20407,0
20408,1
20409,0
20410,0
20411,1
20412,1
20413,1
20414,0
20415,1
20416,0
20417,1
20418,0
20419,1
20420,0
20421,0
20422,1
20423,0
20424,1
20425,1
20426,1
20427,1
20428,0
